jour,0000,7610,7660,autre
0,18,1434,132,7
1,55,1432,94,10
2,1142,350,84,9
3,105,444,1026,3
4,89,409,1073,3
5,48,740,775,3
6,46,859,652,3
7,40,905,595,3
8,22,996,509,3
9,24,1043,428,3
10,15,1099,353,3
11,20,1111,291,3
12,14,1054,258,3
13,12,930,223,1
14,10,823,197,1
15,12,762,165,2
16,11,665,155,3
17,10,593,140,4
18,12,525,124,5
19,10,450,120,5
20,13,390,109,5
21,10,352,104,3
22,6,331,97,3
23,6,304,93,3
24,1,279,92,3
25,6,240,84,3
26,12,206,76,3
27,2,190,78,3
28,5,179,73,3
29,7,160,69,4
30,10,151,68,3
31,2,146,71,3
32,3,135,67,3
33,5,128,60,3
34,4,115,60,4
35,8,116,53,4
36,2,109,59,4
37,5,101,53,3
38,3,105,46,3
39,0,107,43,3
40,4,99,38,4
41,1,91,39,4
42,2,85,37,4
43,0,81,37,3
44,1,80,32,2
45,0,73,35,2
46,3,67,31,2
47,1,65,30,2
48,2,62,29,2
49,2,62,26,2
50,0,58,27,2
51,0,59,22,1
52,1,56,21,1
53,0,49,22,1
54,0,46,23,1
55,1,44,20,1
56,0,46,18,1
57,2,44,15,1
58,2,42,16,1
59,0,43,15,1
60,0,42,14,1
61,0,38,13,1
62,3,33,13,1
63,0,36,13,0
64,0,32,14,0
65,1,31,13,0
66,0,31,13,0
67,0,31,13,0
68,0,31,13,0
69,1,30,11,0
70,0,28,12,0
71,2,25,10,0
72,0,24,12,0
73,1,22,10,0
74,1,21,11,0
75,1,18,12,0
76,0,18,11,0
77,1,17,10,0
78,0,18,10,0
79,0,17,10,0
80,0,17,10,0
81,1,17,9,0
82,0,15,10,0
83,0,15,9,0
84,0,15,8,0
85,1,16,6,0
86,0,16,6,1
87,0,17,5,1
88,1,17,5,0
89,0,15,6,0
90,0,14,6,0
