jour,0000,0001,0002,0004,autre
0,4,621,75,80,7
1,567,171,34,9,5
2,45,233,490,11,5
3,50,336,339,41,5
4,28,381,307,47,6
5,18,418,270,54,5
6,27,443,223,61,5
7,15,447,203,73,4
8,18,457,160,82,4
9,10,437,144,81,4
10,11,387,130,68,3
11,5,352,119,67,2
12,7,311,103,53,2
13,10,278,97,48,1
14,2,261,98,45,1
15,13,228,85,42,1
16,13,197,77,33,1
17,11,182,70,30,1
18,6,174,63,26,1
19,5,167,57,23,1
20,3,156,51,18,1
21,7,138,49,17,1
22,3,121,50,16,1
23,4,114,49,12,1
24,4,103,43,16,1
25,4,93,40,17,1
26,2,87,43,15,1
27,4,82,40,15,1
28,3,82,34,14,1
29,2,75,37,12,1
30,0,73,37,9,1
31,3,71,30,10,2
32,1,67,31,9,2
33,2,64,28,10,2
34,1,61,28,10,2
35,1,56,27,9,2
36,0,51,25,9,2
37,0,44,24,10,2
38,2,41,22,10,2
39,0,40,20,10,2
40,2,38,18,8,2
41,2,37,19,6,2
42,1,36,19,7,2
43,1,35,18,7,2
44,0,33,19,6,2
45,1,29,18,6,2
46,0,27,18,6,2
47,1,25,17,4,2
48,1,25,16,3,2
49,0,24,17,3,1
50,1,23,16,2,1
51,1,23,14,2,1
52,0,23,15,2,0
53,0,21,15,3,0
54,0,21,13,2,0
55,1,19,12,2,0
56,0,16,12,1,0
57,0,17,11,0,0
58,1,16,10,0,0
59,0,15,10,0,0
60,0,15,10,0,0
61,0,16,8,0,0
62,0,16,7,0,0
63,1,12,7,0,0
64,0,12,8,0,0
65,0,12,8,0,0
66,0,11,7,0,0
67,1,9,6,0,0
68,0,9,7,0,0
69,0,9,7,0,0
70,0,8,8,0,0
71,1,9,6,0,0
72,0,7,7,0,0
73,0,7,7,0,0
74,0,6,7,0,0
75,0,6,7,0,0
76,1,7,5,0,0
77,0,7,6,0,0
78,0,7,6,0,0
79,0,7,6,0,0
80,0,7,6,0,0
81,0,7,6,0,0
82,1,8,4,0,0
83,0,8,5,0,0
84,0,6,5,0,0
85,0,6,5,0,0
86,1,7,3,0,0
87,0,7,4,0,0
88,0,7,4,0,0
89,0,7,4,0,0
90,0,8,3,0,0
