jour,0000,2610,3850,1410,1310,autre
0,18,1165,71,207,20,110
1,54,1161,76,218,27,55
2,1140,132,69,173,27,44
3,106,130,1017,171,128,26
4,87,108,1067,160,129,23
5,49,512,767,154,67,17
6,48,657,645,138,58,14
7,38,732,590,115,55,15
8,24,826,506,104,55,15
9,25,908,426,89,50,14
10,12,969,353,82,51,15
11,19,996,289,77,47,15
12,18,946,251,73,44,12
13,12,818,220,72,46,8
14,10,715,194,68,42,9
15,10,651,165,63,44,12
16,10,569,153,58,38,11
17,10,506,137,57,31,14
18,13,441,116,52,32,20
19,11,361,116,51,29,22
20,12,309,108,47,27,22
21,10,267,102,46,25,20
22,6,251,94,47,26,19
23,7,227,90,44,26,19
24,2,198,89,45,28,18
25,6,166,83,39,25,22
26,11,138,75,32,23,25
27,3,121,77,27,25,23
28,4,108,71,27,26,24
29,5,93,69,26,26,24
30,11,87,65,22,25,23
31,3,86,68,23,23,23
32,3,77,65,20,23,23
33,6,70,59,20,21,24
34,4,63,59,19,20,25
35,8,65,52,20,17,22
36,2,60,57,16,15,25
37,5,51,52,16,14,26
38,2,55,46,17,14,26
39,1,57,41,16,15,27
40,3,53,39,13,14,24
41,2,48,38,11,16,22
42,1,41,38,12,16,21
43,1,40,36,11,15,19
44,1,39,32,10,14,22
45,0,34,35,9,13,19
46,3,27,32,10,14,20
47,1,27,32,9,14,16
48,2,28,30,9,12,15
49,1,29,27,9,13,14
50,1,27,26,8,13,14
51,0,27,22,8,13,12
52,1,26,21,8,11,13
53,0,22,22,6,11,12
54,0,21,23,4,10,12
55,1,18,20,6,10,11
56,0,18,18,6,10,13
57,1,17,16,6,9,13
58,3,17,15,5,8,13
59,0,16,15,5,8,16
60,0,16,15,5,8,16
61,0,14,13,5,6,16
62,2,11,13,3,5,17
63,1,11,13,4,5,16
64,0,10,14,3,4,16
65,1,9,13,4,5,13
66,0,9,13,3,6,13
67,0,9,13,3,6,13
68,0,9,13,2,6,14
69,1,9,11,2,4,16
70,0,8,12,2,4,14
71,2,7,10,2,3,14
72,0,7,12,2,3,12
73,1,6,10,3,3,11
74,1,6,11,3,3,10
75,1,5,12,3,3,8
76,0,6,11,2,3,10
77,1,4,10,2,3,9
78,0,4,10,2,3,10
79,0,3,10,2,3,9
80,0,3,10,2,3,9
81,1,3,9,2,2,10
82,0,3,10,2,2,10
83,0,2,9,2,3,10
84,0,3,8,2,3,10
85,1,3,6,2,3,9
86,0,3,6,2,3,9
87,0,3,5,2,3,10
88,1,3,5,2,3,9
89,0,2,6,2,3,9
90,0,2,6,2,2,9
