jour,A,B,C,D,E,F,G,H,I,J,K
0,197,996,8,34,40,183,151,102,7,13,9
1,144,997,60,22,45,183,155,99,9,15,11
2,91,119,1203,45,22,31,103,70,15,25,11
3,91,122,108,1009,53,21,90,82,105,27,23
4,83,91,110,1060,52,17,68,80,109,30,27
5,80,415,55,561,225,96,70,68,70,32,39
6,74,472,32,460,284,107,70,67,65,35,39
7,77,548,47,325,300,129,74,55,63,37,42
8,74,621,36,250,292,150,68,52,62,38,41
9,70,692,38,210,250,171,49,50,57,37,41
10,71,742,26,181,212,187,41,50,47,37,46
11,72,781,25,147,175,202,33,43,40,40,47
12,70,764,14,130,138,202,30,42,33,34,46
13,63,700,15,120,106,180,30,44,30,33,47
14,55,628,18,98,95,170,28,41,31,31,50
15,56,562,18,89,82,149,29,34,26,30,46
16,55,509,15,72,71,132,21,38,28,27,49
17,48,474,10,69,60,113,16,37,26,25,48
18,48,421,20,66,45,104,9,36,26,29,44
19,43,369,11,63,44,88,13,33,27,27,38
20,45,306,18,59,34,77,9,34,25,24,33
21,44,269,15,59,28,71,8,31,25,19,32
22,42,249,13,58,24,57,6,25,22,18,32
23,46,219,8,59,20,49,4,26,20,15,30
24,46,200,6,54,23,47,3,26,15,13,28
25,48,173,10,50,23,41,2,20,13,11,30
26,50,150,7,52,20,37,3,19,13,8,28
27,47,129,6,46,22,27,3,19,13,6,28
28,51,113,3,41,20,28,3,20,15,5,27
29,50,99,4,41,17,23,3,16,15,7,26
30,51,91,3,36,15,24,4,14,14,8,26
31,47,83,6,34,13,23,3,14,13,7,29
32,50,73,2,32,10,23,4,12,12,7,31
33,47,67,6,31,8,23,3,11,12,8,28
34,46,63,6,25,10,20,6,8,11,8,30
35,51,59,3,24,6,17,5,8,12,6,29
36,49,57,4,23,6,14,3,9,11,5,29
37,42,56,2,26,5,14,3,7,11,5,27
38,41,52,1,25,5,13,1,9,11,4,27
39,40,50,1,23,4,13,1,8,9,4,28
40,39,46,3,20,0,11,1,7,9,3,28
41,39,39,2,20,0,11,0,6,7,3,28
42,36,33,2,18,1,10,1,6,8,3,27
43,37,27,2,19,2,9,1,6,7,1,24
44,36,25,1,19,2,9,1,4,7,1,25
45,36,23,2,19,1,8,2,2,6,1,25
46,37,22,0,18,2,11,3,2,6,1,22
47,35,19,1,16,2,11,2,4,8,1,21
48,36,18,1,14,2,10,2,3,8,1,23
49,35,17,3,13,3,8,2,3,7,1,22
50,35,15,1,13,3,7,1,5,6,0,21
51,34,13,1,13,3,7,2,5,5,0,20
52,35,14,0,13,2,7,2,4,6,0,18
53,30,15,0,11,2,7,2,6,6,0,17
54,28,16,0,11,2,7,2,4,5,1,16
55,27,14,3,10,1,3,2,4,4,1,14
56,24,12,2,10,2,3,2,3,5,1,15
